x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
-0.404805	12.3663	-1.71846	-4.72739	4.36373	0.364942	-0.476482	12.363310	1477010454100000	-0.555273	12.371360	-2.312016	-4.608226	4.247370	0.183051
-0.598215	11.942	-1.61944	-4.67362	4.37883	0.339086	-0.582624	12.038580	1477010454200000	-0.782350	11.908330	-2.231440	-4.654556	4.265349	0.169959
-0.917679	11.4662	-1.82586	-4.71519	4.34294	0.256548	-1.172116	11.398760	1477010454300000	-1.001627	11.440890	-2.155937	-4.696281	4.282015	0.156761
-1.19192	11.0143	-1.93399	-4.643	4.31771	0.190206	-1.392886	11.042390	1477010454400000	-1.213625	10.969480	-2.085754	-4.733638	4.297360	0.143463
-1.40772	10.5118	-1.89787	-4.80057	4.3359	0.195219	-1.496867	10.419820	1477010454500000	-1.418886	10.494540	-2.021113	-4.766857	4.311372	0.130074
-1.59617	10.0386	-1.80453	-4.86829	4.35742	0.202671	-1.618749	10.237360	1477010454600000	-1.617975	10.016470	-1.962215	-4.796150	4.324043	0.116604
-1.75552	9.59231	-1.67691	-4.81165	4.37704	0.199747	-1.733813	9.713470	1477010454700000	-1.811474	9.535641	-1.909235	-4.821717	4.335365	0.103060
-1.95672	9.04247	-1.65092	-4.99137	4.39296	0.198915	-1.938328	8.770285	1477010454800000	-1.999983	9.052426	-1.862331	-4.843738	4.345331	0.089450
-2.13646	8.56985	-1.61058	-4.93531	4.39695	0.175385	-2.176802	8.541096	1477010454900000	-2.184116	8.567169	-1.821636	-4.862378	4.353935	0.075785
-2.31087	8.08343	-1.55891	-4.94117	4.40678	0.167097	-2.218754	8.153395	1477010455000000	-2.364500	8.080199	-1.787265	-4.877779	4.361171	0.062071
-2.48511	7.62141	-1.53683	-4.90783	4.40892	0.148532	-2.596742	7.602881	1477010455100000	-2.541771	7.591835	-1.759313	-4.890064	4.367034	0.048318
-2.75119	7.12966	-1.74211	-4.86138	4.36829	0.0758791	-2.798651	7.064004	1477010455200000	-2.716576	7.102382	-1.737856	-4.899332	4.371522	0.034535
-2.8484	6.69476	-1.52353	-4.81215	4.40577	0.115348	-2.746508	6.868668	1477010455300000	-2.889567	6.612138	-1.722953	-4.905662	4.374630	0.020730
-2.95957	6.24438	-1.41303	-4.70385	4.42057	0.10809	-2.902166	6.229886	1477010455400000	-3.061402	6.121393	-1.714642	-4.909108	4.376358	0.006911
-3.16937	5.71587	-1.50998	-4.8398	4.40997	0.0858964	-3.177805	5.531013	1477010455500000	-3.232740	5.630435	-1.712946	-4.909701	4.376703	-0.006911
-3.37904	5.20424	-1.63634	-4.85008	4.387	0.0388318	-3.430309	5.105070	1477010455600000	-3.404243	5.139548	-1.717867	-4.907446	4.375667	-0.020730
-3.5685	4.67391	-1.66943	-4.96463	4.388	0.0395443	-3.694351	4.521963	1477010455700000	-3.576574	4.649018	-1.729394	-4.902326	4.373248	-0.034535
-3.81763	4.14213	-1.87952	-5.00212	4.35297	-0.0159863	-4.002383	4.046836	1477010455800000	-3.750390	4.159132	-1.747494	-4.894300	4.369450	-0.048318
-3.96576	3.67461	-1.77133	-4.95512	4.36907	0.0106234	-3.880532	3.751771	1477010455900000	-3.926347	3.670186	-1.772118	-4.883302	4.364274	-0.062071
-4.15425	3.22991	-1.82173	-4.84142	4.3525	-0.019076	-4.151192	3.219682	1477010456000000	-4.105094	3.182480	-1.803198	-4.869246	4.357724	-0.075785
-4.36422	2.69482	-1.9205	-4.92158	4.34034	-0.0379932	-4.324508	2.550338	1477010456100000	-4.287274	2.696326	-1.840648	-4.852019	4.349804	-0.089450
-4.55703	2.17797	-1.92562	-4.97488	4.34308	-0.0261668	-4.612230	2.091916	1477010456200000	-4.473517	2.212048	-1.884364	-4.831491	4.340518	-0.103060
-4.78404	1.66782	-2.08	-4.98302	4.31696	-0.0697364	-4.868289	1.534418	1477010456300000	-4.664445	1.729983	-1.934219	-4.807509	4.329873	-0.116604
-4.96462	1.18917	-2.1015	-4.90529	4.30763	-0.0846663	-4.667788	1.286427	1477010456400000	-4.860665	1.250487	-1.990068	-4.779901	4.317875	-0.130074
-5.11673	0.752451	-2.03143	-4.76271	4.30923	-0.0758312	-4.854981	0.825661	1477010456500000	-5.062768	0.773930	-2.051745	-4.748478	4.304533	-0.143463
-5.28762	0.212543	-2.02504	-4.86924	4.31826	-0.06258	-5.123096	0.257311	1477010456600000	-5.271329	0.300706	-2.119061	-4.713034	4.289853	-0.156761
-5.46732	-0.253111	-1.96926	-4.80387	4.32335	-0.0407706	-5.299723	-0.212982	1477010456700000	-5.486900	-0.168772	-2.191805	-4.673350	4.273847	-0.169959
-5.7208	-0.609215	-2.13778	-4.54531	4.27276	-0.102843	-5.853586	-0.445801	1477010456800000	-5.710014	-0.634069	-2.269743	-4.629193	4.256523	-0.183051
-5.93257	-1.11733	-2.24611	-4.6638	4.26357	-0.114271	-5.878354	-1.268630	1477010456900000	-5.941177	-1.094723	-2.352615	-4.580321	4.237893	-0.196027
-6.16043	-1.59617	-2.30299	-4.66236	4.25359	-0.113919	-6.272635	-1.509379	1477010457000000	-6.180869	-1.550250	-2.440139	-4.526483	4.217968	-0.208879
-6.41065	-2.09441	-2.47757	-4.74346	4.23105	-0.141557	-6.340070	-2.136847	1477010457100000	-6.429541	-2.000141	-2.532004	-4.467422	4.196761	-0.221599
-6.71062	-2.50449	-2.63766	-4.56166	4.18814	-0.174183	-6.792876	-2.445797	1477010457200000	-6.687610	-2.443860	-2.627877	-4.402881	4.174286	-0.234179
-6.95959	-2.98972	-2.68005	-4.59537	4.18441	-0.157375	-6.800298	-3.100863	1477010457300000	-6.955460	-2.880843	-2.727396	-4.332600	4.150556	-0.246611
-7.21285	-3.40255	-2.71156	-4.44886	4.16502	-0.160665	-7.121178	-3.264337	1477010457400000	-7.233435	-3.310505	-2.830171	-4.256323	4.125587	-0.258887
-7.51716	-3.78471	-2.85561	-4.26352	4.12224	-0.194879	-7.490093	-3.490813	1477010457500000	-7.521842	-3.732231	-2.935789	-4.173800	4.099395	-0.271000
-7.8168	-4.22418	-2.9696	-4.24946	4.10246	-0.196333	-7.880489	-4.297826	1477010457600000	-7.820942	-4.145385	-3.043807	-4.084790	4.071995	-0.282942
-8.13049	-4.68275	-3.05576	-4.25746	4.08985	-0.185866	-8.224922	-4.798125	1477010457700000	-8.130953	-4.549304	-3.153756	-3.989064	4.043406	-0.294705
